date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:58	852/852	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/robots.txt		(from )
20:55:59	13929/13929	U-----	200	untouched ('OK')	text/html	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/calculadoras/seleccion.html	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/calculadoras/seleccion.html	(from )
20:55:59	1371/1371	U-----	200	untouched ('')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS32.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS32.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:55:59	816/816	---MC-	200	added ('OK')	text/css	date:Sat,%2028%20Feb%202026%2001:55:59%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;600;700&display=swap	C:/My%20Web%20Sites/beca18-2026/fonts.googleapis.com/css2b65f.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:55:59	198628/198628	U--M--	200	updated ('OK')	text/javascript	etag:4420631327220646832	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6175076564917081	C:/My%20Web%20Sites/beca18-2026/pagead2.googlesyndication.com/pagead/js/f6881.txt	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:56:44	667/667	U-----	200	untouched ('')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS16.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS16.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:56:44	1562620/1562620	U-----	200	untouched ('')	image/png	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/images/logos/JS.png	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/images/logos/JS.png	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:57:39	83981/83981	U-----	200	untouched ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:57:54	220780/220780	U-----	200	untouched ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/beca18-2026/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:58:23	202983/202983	U-----	200	untouched ('')	application/javascript	etag:%2261196c0a-bc15%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.3.2/html2canvas.min.js	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/html2canvas/1.3.2/html2canvas.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:58:24	364463/364463	U-----	200	untouched ('')	application/javascript	etag:%2261f43d69-1c721%22	https://cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	C:/My%20Web%20Sites/beca18-2026/cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
20:58:24	4733/4733	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Mar%202025%2007:04:39%20GMT	https://asesoriabeca18.web.app/assets/css/main.css	C:/My%20Web%20Sites/beca18-2026/asesoriabeca18.web.app/assets/css/main.css	(from https://asesoriabeca18.web.app/calculadoras/seleccion.html)
